,feature,poids
79,BURO_DAYS_CREDIT_MEAN,0.042086762256084244
43,NAME_EDUCATION_TYPE_CATed,0.040875031467742066
7,DAYS_EMPLOYED,0.0347322469042208
37,CREDIT_TO_GOODS_RATIO,0.034630551772308525
194,INSTAL_DPD_MEAN,0.03272525545122196
40,INCOME_TO_EMPLOYED_RATIO,0.0278009245262891
6,DAYS_BIRTH,0.02612165790490795
84,BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.025792317719657454
42,EMPLOYED_TO_BIRTH_RATIO,0.022665636873161314
54,NAME_INCOME_TYPE_Working,0.020776709534035008
80,BURO_DAYS_CREDIT_ENDDATE_MEAN,0.01959684308329266
92,ACTIVE_DAYS_CREDIT_MAX,0.018675445636453347
36,CREDIT_TO_ANNUITY_RATIO,0.018183617447941565
196,INSTAL_PAYMENT_PERC_MEAN,0.01794006154699087
93,ACTIVE_DAYS_CREDIT_MEAN,0.017890353785192332
197,INSTAL_PAYMENT_DIFF_MEAN,0.01740830693850989
96,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.016612129398728193
78,BURO_DAYS_CREDIT_MAX,0.015308089094402153
17,REGION_RATING_CLIENT_W_CITY,0.015143015016338081
16,REGION_RATING_CLIENT,0.012701375060104934
82,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.011772472513252285
135,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.010743336775369
4,AMT_GOODS_PRICE,0.010465793180991265
141,PREV_CODE_REJECT_REASON_XAP_MEAN,0.01008430160946125
89,BURO_HAS_CREDIT_SUM,0.009361337379442796
143,PREV_NAME_CLIENT_TYPE_New_MEAN,0.009199191629043887
187,REFUSED_DAYS_DECISION_MEAN,0.00888277042762581
9,DAYS_ID_PUBLISH,0.008581733192391267
192,POS_COUNT,0.008570766809535555
5,REGION_POPULATION_RELATIVE,0.00850694422441105
149,PREV_NAME_PRODUCT_TYPE_NAME_PRODUCT_TYPE_divers_MEAN,0.008458714964095249
191,POS_SK_DPD_DEF_MEAN,0.008296516806172499
132,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.008153406398991528
2,AMT_CREDIT,0.00806951696902894
