,feature,poids
104,CLOSED_DAYS_CREDIT_MEAN,0.00791698002269176
122,PREV_DAYS_DECISION_MEAN,0.007845856137375982
216,CC_CNT_DRAWINGS_CURRENT_MEAN,0.007594571236554157
117,PREV_APP_CREDIT_PERC_MEAN,0.007576587332789783
200,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.007428277124093649
182,REFUSED_APP_CREDIT_PERC_MEAN,0.007315899107018245
94,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.007239874273580064
215,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,0.006870684037526729
69,OCCUPATION_TYPE_Laborers,0.006555133415240686
118,PREV_AMT_DOWN_PAYMENT_MEAN,0.0060898836426215765
3,AMT_ANNUITY,0.006062063370488473
98,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.00573682633439398
201,INSTAL_COUNT,0.005535953576565617
173,APPROVED_AMT_DOWN_PAYMENT_MEAN,0.005425352072413329
162,PREV_NAME_YIELD_GROUP_high_MEAN,0.005409408536704963
169,APPROVED_AMT_ANNUITY_MEAN,0.005340028482156512
8,DAYS_REGISTRATION,0.005180360105060434
105,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0051217059609970006
177,APPROVED_DAYS_DECISION_MEAN,0.004943168961085345
38,ANNUITY_TO_INCOME_RATIO,0.004742488203459338
83,BURO_AMT_CREDIT_SUM_MEAN,0.004472269145886008
108,CLOSED_AMT_CREDIT_SUM_MEAN,0.004440377352965937
39,CREDIT_TO_INCOME_RATIO,0.004432422309853863
140,PREV_CODE_REJECT_REASON_HC_MEAN,0.004410921381169381
189,POS_MONTHS_BALANCE_MEAN,0.004395986528393912
206,CC_AMT_DRAWINGS_CURRENT_MEAN,0.004380510387103193
190,POS_SK_DPD_MEAN,0.00427942123977433
10,OWN_CAR_AGE,0.0042631900445865905
114,PREV_AMT_ANNUITY_MEAN,0.004220030882377346
41,INCOME_TO_BIRTH_RATIO,0.004176187503537344
213,CC_AMT_RECIVABLE_MEAN,0.004113956918737549
172,APPROVED_APP_CREDIT_PERC_MEAN,0.004062555508331072
203,CC_AMT_BALANCE_MEAN,0.003999649564449041
214,CC_AMT_TOTAL_RECEIVABLE_MEAN,0.003972540697026582
86,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.003817288903358602
212,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,0.0037958587339489585
100,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.003669202591362642
163,PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.0036076444332489794
97,ACTIVE_AMT_CREDIT_SUM_MEAN,0.0035851560744546776
103,CLOSED_DAYS_CREDIT_MAX,0.003509517586834058
50,NAME_INCOME_TYPE_Commercial associate,0.003499461246895948
174,APPROVED_AMT_GOODS_PRICE_MEAN,0.0034962335884385263
123,PREV_CNT_PAYMENT_MEAN,0.0034661330459988494
1,AMT_INCOME_TOTAL,0.003415177543111376
199,INSTAL_AMT_PAYMENT_MEAN,0.0033584294785437294
205,CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,0.0033491560184337353
170,APPROVED_AMT_APPLICATION_MEAN,0.0032613510670883757
209,CC_AMT_INST_MIN_REGULARITY_MEAN,0.0031497626784944954
129,PREV_NAME_CASH_LOAN_PURPOSE_NAME_CASH_LOAN_PURPOSE_divers_MEAN,0.003095441589606867
35,DOCUMENT_COUNT,0.0030913967055411122
120,PREV_HOUR_APPR_PROCESS_START_MEAN,0.00306542944393048
121,PREV_RATE_DOWN_PAYMENT_MEAN,0.0030620521416878472
139,PREV_CODE_REJECT_REASON_CODE_REJECT_REASON_divers_MEAN,0.002945259442359288
171,APPROVED_AMT_CREDIT_MEAN,0.002887991385851498
115,PREV_AMT_APPLICATION_MEAN,0.0028789808516980894
188,REFUSED_CNT_PAYMENT_MEAN,0.0028630966408469054
158,PREV_NAME_SELLER_INDUSTRY_NAME_SELLER_INDUSTRY_divers_MEAN,0.002809131296859025
218,CC_CNT_DRAWINGS_POS_CURRENT_MEAN,0.0027505637997932504
13,FLAG_PHONE,0.002717309547684524
175,APPROVED_HOUR_APPR_PROCESS_START_MEAN,0.002716233600963384
144,PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0.002682492185498553
160,PREV_NAME_YIELD_GROUP_NAME_YIELD_GROUP_divers_MEAN,0.002672085926323006
44,NAME_CONTRACT_TYPE_Cash loans,0.002664415711699458
119,PREV_AMT_GOODS_PRICE_MEAN,0.0026327505088245763
198,INSTAL_AMT_INSTALMENT_MEAN,0.00260804446915372
195,INSTAL_DBD_MEAN,0.0025203368809656682
219,CC_CNT_INSTALMENT_MATURE_CUM_MEAN,0.0025060173042917677
176,APPROVED_RATE_DOWN_PAYMENT_MEAN,0.0024689922293391524
178,APPROVED_CNT_PAYMENT_MEAN,0.002455999300633546
185,REFUSED_HOUR_APPR_PROCESS_START_MEAN,0.0023731506677845075
116,PREV_AMT_CREDIT_MEAN,0.0023189937142451406
45,NAME_CONTRACT_TYPE_Revolving loans,0.0022839751562586654
107,CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0022812778768475815
211,CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.0022601288380387167
147,PREV_NAME_PORTFOLIO_POS_MEAN,0.0022373173141721774
161,PREV_NAME_YIELD_GROUP_XNA_MEAN,0.0021152367825040506
156,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,0.0020996513197162423
202,CC_MONTHS_BALANCE_MEAN,0.00204794513345064
125,PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0.0018823419363423093
179,REFUSED_AMT_ANNUITY_MEAN,0.0018724802186926212
18,HOUR_APPR_PROCESS_START,0.0018680627202513759
222,CC_COUNT,0.0018557724713110038
181,REFUSED_AMT_CREDIT_MEAN,0.0018168130500718202
180,REFUSED_AMT_APPLICATION_MEAN,0.0017698478279228101
167,PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,0.0016600572390691902
136,PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,0.0016054793249047
138,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,0.0015389800476402434
47,FLAG_OWN_CAR_Y,0.0015251899200896504
184,REFUSED_AMT_GOODS_PRICE_MEAN,0.0015217925343027072
87,BURO_AMT_ANNUITY_MEAN,0.0014507850680759186
26,DEF_30_CNT_SOCIAL_CIRCLE,0.0014461751197438798
112,CLOSED_AMT_ANNUITY_MEAN,0.001410218721253133
46,FLAG_OWN_CAR_N,0.0013615875083509677
168,PREV_PRODUCT_COMBINATION_PRODUCT_COMBINATION_divers_MEAN,0.0013495389920974324
25,OBS_30_CNT_SOCIAL_CIRCLE,0.0013133614603291262
193,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.0012981401393865437
126,PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0.0012807067619706146
56,NAME_FAMILY_STATUS_Married,0.001279453976909268
28,DEF_60_CNT_SOCIAL_CIRCLE,0.0012648165120225977
73,ORGANIZATION_TYPE_Business Entity Type 3,0.001232088515372207
52,NAME_INCOME_TYPE_Pensioner,0.0012304588520740632
208,CC_AMT_DRAWINGS_POS_CURRENT_MEAN,0.0012295304465334076
159,PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,0.0012235752273579384
151,PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,0.0012062299291326808
148,PREV_NAME_PORTFOLIO_XNA_MEAN,0.0011909579057674748
101,ACTIVE_AMT_ANNUITY_MEAN,0.0011819976125817969
157,PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,0.0011713174340656175
34,AMT_REQ_CREDIT_BUREAU_YEAR,0.0011435888101715562
77,ORGANIZATION_TYPE_XNA,0.0011293791720735737
210,CC_AMT_PAYMENT_CURRENT_MEAN,0.0011216224032151584
204,CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.001114634907746883
23,REG_CITY_NOT_WORK_CITY,0.0011121141005365272
145,PREV_NAME_PORTFOLIO_Cash_MEAN,0.0010755755109455346
142,PREV_NAME_CLIENT_TYPE_NAME_CLIENT_TYPE_divers_MEAN,0.0010709131347142746
164,PREV_NAME_YIELD_GROUP_middle_MEAN,0.0010440212370941818
74,ORGANIZATION_TYPE_ORGANIZATION_TYPE_divers,0.0010416024826497747
150,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.0010384058825197676
155,PREV_CHANNEL_TYPE_Stone_MEAN,0.0010289869942652539
27,OBS_60_CNT_SOCIAL_CIRCLE,0.001015335993901276
131,PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,0.001014042317687669
130,PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,0.000979045313807929
154,PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,0.0009658711576355654
146,PREV_NAME_PORTFOLIO_NAME_PORTFOLIO_divers_MEAN,0.0009339169355322117
152,PREV_CHANNEL_TYPE_CHANNEL_TYPE_divers_MEAN,0.0008598110351007799
15,CNT_FAM_MEMBERS,0.0008409169990913442
165,PREV_PRODUCT_COMBINATION_Cash_MEAN,0.0008091152154002399
0,CNT_CHILDREN,0.0007981115549448517
59,NAME_FAMILY_STATUS_Single / not married,0.000734240855696879
124,PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0.0007307595482894237
166,PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,0.0007307473118706364
33,AMT_REQ_CREDIT_BUREAU_QRT,0.0007173742145944647
153,PREV_CHANNEL_TYPE_Country-wide_MEAN,0.0007171021004612532
76,ORGANIZATION_TYPE_Self-employed,0.0007086730927047158
133,PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.0007033924775010745
66,OCCUPATION_TYPE_Core staff,0.0006967876291880306
22,REG_CITY_NOT_LIVE_CITY,0.0006636669585259401
85,BURO_AMT_CREDIT_SUM_OVERDUE_MAX,0.0006465847644851177
53,NAME_INCOME_TYPE_State servant,0.0006085391651830067
186,REFUSED_RATE_DOWN_PAYMENT_MEAN,0.0005764849673562799
220,CC_SK_DPD_MEAN,0.0005679206032621991
67,OCCUPATION_TYPE_Drivers,0.0005620742445003388
65,OCCUPATION_TYPE_Accountants,0.00046588546208903417
99,ACTIVE_AMT_CREDIT_SUM_OVERDUE_MAX,0.0004636026796058269
134,PREV_NAME_CONTRACT_STATUS_NAME_CONTRACT_STATUS_divers_MEAN,0.00045929849258605183
183,REFUSED_AMT_DOWN_PAYMENT_MEAN,0.0004505567317758353
32,AMT_REQ_CREDIT_BUREAU_MON,0.0004419377951455276
95,ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.0004200410210718439
72,OCCUPATION_TYPE_Sales staff,0.00041623664055465067
70,OCCUPATION_TYPE_Managers,0.00040556238355058267
81,BURO_CREDIT_DAY_OVERDUE_MEAN,0.0003599602342748485
24,LIVE_CITY_NOT_WORK_CITY,0.00033959967129898206
221,CC_SK_DPD_DEF_MEAN,0.0003203332888378981
55,NAME_FAMILY_STATUS_Civil marriage,0.0002990746960249011
71,OCCUPATION_TYPE_OCCUPATION_TYPE_divers,0.0002841241513062324
217,CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0.00024346590904587097
49,FLAG_OWN_REALTY_Y,0.00024012965263261028
48,FLAG_OWN_REALTY_N,0.0002382076722081401
14,FLAG_EMAIL,0.0002306207009374416
111,CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.0002211698378608207
207,CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0.00020961533579935587
60,NAME_FAMILY_STATUS_Widow,0.0002008907331748479
109,CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.00020032634687741695
64,NAME_HOUSING_TYPE_With parents,0.00019699302067012665
61,NAME_HOUSING_TYPE_House / apartment,0.00019487357232333768
68,OCCUPATION_TYPE_High skill tech staff,0.00017460149736463548
58,NAME_FAMILY_STATUS_Separated,0.00014939653382828013
137,PREV_NAME_PAYMENT_TYPE_NAME_PAYMENT_TYPE_divers_MEAN,0.0001471214018939561
90,BURO_BAD_HISTORY_SUM,0.0001436990810796763
62,NAME_HOUSING_TYPE_Municipal apartment,0.0001036608707436477
75,ORGANIZATION_TYPE_Other,9.691604321243435e-05
102,ACTIVE_CNT_CREDIT_PROLONG_SUM,8.990267031842968e-05
21,LIVE_REGION_NOT_WORK_REGION,8.889117248039187e-05
88,BURO_CNT_CREDIT_PROLONG_SUM,8.661343585820931e-05
63,NAME_HOUSING_TYPE_NAME_HOUSING_TYPE_divers,8.481192637622308e-05
31,AMT_REQ_CREDIT_BUREAU_WEEK,8.267346756146807e-05
91,BURO_BAD_CLOSER_SUM,8.253872998325226e-05
128,PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,8.179461225366925e-05
20,REG_REGION_NOT_WORK_REGION,7.012116997857043e-05
113,CLOSED_CNT_CREDIT_PROLONG_SUM,6.811847080138156e-05
19,REG_REGION_NOT_LIVE_REGION,4.035679068934027e-05
127,PREV_FLAG_LAST_APPL_PER_CONTRACT_FLAG_LAST_APPL_PER_CONTRACT_divers_MEAN,3.567179393537931e-05
29,AMT_REQ_CREDIT_BUREAU_HOUR,3.101390384447726e-05
30,AMT_REQ_CREDIT_BUREAU_DAY,2.3714912126864006e-05
12,FLAG_CONT_MOBILE,1.1764416713543639e-05
110,CLOSED_AMT_CREDIT_SUM_OVERDUE_MAX,3.841409977359909e-06
106,CLOSED_CREDIT_DAY_OVERDUE_MEAN,2.8199844910468823e-06
51,NAME_INCOME_TYPE_NAME_INCOME_TYPE_divers,2.0066573716263083e-06
57,NAME_FAMILY_STATUS_NAME_FAMILY_STATUS_divers,0.0
11,FLAG_MOBIL,0.0
