,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__colsample_bytree,param_estimator__max_depth,param_estimator__min_child_weight,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,delta_train_test
0,13.937917518615723,0.2514202138225815,0.3309029579162598,0.01035809338014587,0.2,3,200,400,0.2,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 400, 'estimator__subsample': 0.2}",0.41114245416078987,0.41348837209302325,0.41731175228712175,0.40875674669644524,0.4135739469289293,0.4128546544332619,0.002846372380347099,149,0.4218976905419965,0.42135027985074625,0.4203338391502276,0.4203668741113675,0.4214793360551814,0.42108560394190386,0.0006271021975889538,0.00823094950864195
1,14.888314008712769,0.3119557718322828,0.30461940765380857,0.016627837802352028,0.2,3,200,400,0.3,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 400, 'estimator__subsample': 0.3}",0.4156283793314213,0.4143853245355421,0.4236215303825956,0.4111566399701993,0.41620111731843573,0.4161985983076389,0.004102057587716819,63,0.4266582156648708,0.42465545610493277,0.4251080733730576,0.42523260836572924,0.42446875657479477,0.42522462201667705,0.0007699507149896938,0.009026023709038156
2,16.748741626739502,0.24972352162191494,0.30805282592773436,0.01786915631768423,0.2,3,200,400,0.4,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 400, 'estimator__subsample': 0.4}",0.41213320145070886,0.4149309618534987,0.42107976380166834,0.41221660108675284,0.41729041916167664,0.41553018947086107,0.003369707795739802,97,0.42981360605132307,0.4266729114220479,0.42567607032299515,0.42798339431466365,0.42778434147882133,0.42758606471797017,0.0013886001875837108,0.012055875247109105
3,16.097569847106932,0.21452042208637617,0.4075831413269043,0.03203477281075967,0.2,3,200,500,0.2,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 500, 'estimator__subsample': 0.2}",0.411383421650265,0.4136816968675376,0.41881745659314873,0.40943740354487207,0.4145330974769575,0.4135706152265562,0.0031728633782521095,141,0.42568236458775277,0.4233353266031165,0.42173389876049955,0.42285118496737384,0.4241900446147018,0.4235585639066889,0.0013258144644474796,0.009987948680132697
4,18.3683611869812,0.6539555721352004,0.3638445854187012,0.013142989716730724,0.2,3,200,500,0.3,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 500, 'estimator__subsample': 0.3}",0.416291309089185,0.4150374523013144,0.4215732454074423,0.41141169300014063,0.41785597304758776,0.416433934569134,0.00333550968987189,57,0.42853423895679754,0.42722916249661486,0.4264735229553805,0.4288384449904193,0.427301236800996,0.4276753212400416,0.0008802172926881701,0.011241386670907572
5,19.91732621192932,0.9658561897779591,0.3654832363128662,0.037123104348246304,0.2,3,200,500,0.4,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 500, 'estimator__subsample': 0.4}",0.4151077433104428,0.4169022046353872,0.4218713174640584,0.412654422471699,0.41864287391406435,0.41703571235913034,0.003127191552724871,35,0.43149133934816886,0.4299979980922997,0.428315117969886,0.43009170423911375,0.43003368900470706,0.429985969730835,0.0010071231194524034,0.012950257371704688
6,18.990569639205933,1.0097979340676992,0.48363966941833497,0.02699006046985817,0.2,3,200,600,0.2,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 600, 'estimator__subsample': 0.2}",0.41306504180246567,0.4142441860465116,0.4195310292871268,0.41070842514885836,0.4168613889148518,0.41488201423996285,0.0030547773914549304,128,0.4258301626753678,0.4245343910997406,0.4246575342465753,0.42448283968030087,0.42450289247488115,0.42480156403537317,0.0005178669781628111,0.00991954979541032
7,20.610843086242674,0.6094075591191671,0.4382315158843994,0.04419392763005624,0.2,3,200,600,0.3,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 600, 'estimator__subsample': 0.3}",0.41652782405864713,0.4155432571779953,0.42228530872959547,0.41305984192698536,0.42050582925912,0.4175844122304687,0.0033581999432740865,21,0.42972693691874614,0.42907935457960256,0.42943446095031323,0.43062907647225634,0.4294112786126622,0.4296562215067161,0.0005279010647452638,0.012071809276247403
8,22.34102840423584,0.44832516020775126,0.4157114028930664,0.018608138384872828,0.2,3,200,600,0.4,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 200, 'estimator__n_estimators': 600, 'estimator__subsample': 0.4}",0.41885066234632606,0.41753455784889226,0.4230696262568772,0.41435810010891705,0.4184199328636944,0.4184465758849414,0.002795854128152193,4,0.4330774365821094,0.43146096671874257,0.42966999268747197,0.4306651634723788,0.4325423087832088,0.43148317364878236,0.001234560693401268,0.013036597763840974
9,13.747662258148193,0.6838303104226762,0.4164745330810547,0.03785349603465336,0.2,3,300,400,0.2,"{'estimator__colsample_bytree': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 300, 'estimator__n_estimators': 400, 'estimator__subsample': 0.2}",0.4046336707215154,0.4071435180901268,0.41408974657056496,0.4117428981880532,0.40854331432775426,0.40923062957960293,0.0033431416021681517,188,0.41624612814533807,0.41445289439872207,0.4143260050396468,0.41622247972190035,0.4166378216222453,0.41557706578557047,0.0009816639784066712,0.006346436205967532
