,feature,coeflogreg
99,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.18605480574436284
100,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.03556301211719289
101,BURO_AMT_ANNUITY_MEAN,-0.10156309326232717
102,BURO_CNT_CREDIT_PROLONG_SUM,0.12456103653222252
103,BURO_MONTHS_BALANCE_MIN_MIN,-0.07251191834950572
104,BURO_MONTHS_BALANCE_MAX_MAX,-0.0018983071998455317
105,BURO_MONTHS_BALANCE_SIZE_MEAN,-0.09157460393297721
106,BURO_CREDIT_ACTIVE_Active_MEAN,0.0950638480121243
107,BURO_CREDIT_ACTIVE_CREDIT_ACTIVE_divers_MEAN,0.022316815374689238
108,BURO_CREDIT_ACTIVE_Closed_MEAN,-0.08267870593980292
109,BURO_CREDIT_ACTIVE_nan_MEAN,0.0
110,BURO_CREDIT_CURRENCY_CREDIT_CURRENCY_divers_MEAN,-0.000663475003818161
111,BURO_CREDIT_CURRENCY_currency 1_MEAN,0.0031684145628859883
112,BURO_CREDIT_CURRENCY_nan_MEAN,0.0
113,BURO_CREDIT_TYPE_CREDIT_TYPE_divers_MEAN,-0.8377295042068729
114,BURO_CREDIT_TYPE_Consumer credit_MEAN,-1.6612457859479488
115,BURO_CREDIT_TYPE_Credit card_MEAN,-1.5092149247611628
116,BURO_CREDIT_TYPE_nan_MEAN,0.0
117,BURO_STATUS_0_MEAN_MEAN,-0.13704749893514198
118,BURO_STATUS_C_MEAN_MEAN,-0.1307328745735063
119,BURO_STATUS_STATUS_divers_MEAN_MEAN,0.030575405266136467
120,BURO_STATUS_X_MEAN_MEAN,-0.1267743106751731
121,BURO_STATUS_nan_MEAN_MEAN,0.0
122,ACTIVE_DAYS_CREDIT_MEAN,0.18438486176737845
123,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.06815091874879262
124,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,-0.0045410058913722545
125,ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.008624928878874684
126,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.1226307420757647
127,ACTIVE_AMT_CREDIT_SUM_MEAN,-0.1409422728696087
128,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.14014521703557006
129,ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,-0.20350879829575858
130,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,-0.08924678970688
131,ACTIVE_AMT_ANNUITY_MEAN,0.05672809019291462
132,ACTIVE_CNT_CREDIT_PROLONG_SUM,-0.09403018146148359
133,ACTIVE_MONTHS_BALANCE_MIN_MIN,-0.08550915397448058
134,ACTIVE_MONTHS_BALANCE_MAX_MAX,0.01721817203249262
135,ACTIVE_MONTHS_BALANCE_SIZE_MEAN,-0.043063239047859726
136,CLOSED_DAYS_CREDIT_MEAN,0.09423228250808226
137,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,-0.006189516475015202
138,CLOSED_DAYS_CREDIT_UPDATE_MEAN,-0.004890647735350639
139,CLOSED_CREDIT_DAY_OVERDUE_MEAN,-0.04153747817970622
140,CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,0.03552613049461277
141,CLOSED_AMT_CREDIT_SUM_MEAN,-0.03753573784083283
142,CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.016214577467586182
143,CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0.3921062080574193
144,CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.002126395679060421
145,CLOSED_AMT_ANNUITY_MEAN,0.05733321644693834
146,CLOSED_CNT_CREDIT_PROLONG_SUM,-0.05605602004617214
147,CLOSED_MONTHS_BALANCE_MIN_MIN,0.05247170361993826
148,CLOSED_MONTHS_BALANCE_MAX_MAX,0.0012391793448395835
149,CLOSED_MONTHS_BALANCE_SIZE_MEAN,0.053792041453432034
150,PREV_AMT_ANNUITY_MEAN,-0.08609931686282732
151,PREV_AMT_APPLICATION_MEAN,0.3675669504820099
152,PREV_AMT_CREDIT_MEAN,-0.29563062616305824
153,PREV_APP_CREDIT_PERC_MEAN,-0.07448058595523818
154,PREV_AMT_DOWN_PAYMENT_MEAN,-0.052307640730455546
155,PREV_AMT_GOODS_PRICE_MEAN,-0.003703092791258243
156,PREV_HOUR_APPR_PROCESS_START_MEAN,-0.012551958623297362
157,PREV_RATE_DOWN_PAYMENT_MEAN,-0.043324255613361506
158,PREV_DAYS_DECISION_MEAN,0.12488416754495596
159,PREV_CNT_PAYMENT_MEAN,0.07248166091126648
160,PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0.0017628111517940795
161,PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,-0.04024797264781241
162,PREV_NAME_CONTRACT_TYPE_NAME_CONTRACT_TYPE_divers_MEAN,0.01133827431049047
163,PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0.05305988755923723
164,PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,-0.001190501736057516
165,PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.011377911333514103
166,PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,-0.02975664569743253
167,PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,-0.03968043563179392
168,PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.012778783517677982
169,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,-0.013596369551606981
170,PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.0020367519805789035
171,PREV_FLAG_LAST_APPL_PER_CONTRACT_FLAG_LAST_APPL_PER_CONTRACT_divers_MEAN,0.004045276125726565
172,PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0.016026429068868177
173,PREV_NAME_CASH_LOAN_PURPOSE_NAME_CASH_LOAN_PURPOSE_divers_MEAN,0.024744724243925955
174,PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,-0.008470692404766063
175,PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,-0.004334184935605493
176,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,-0.02690330136430275
177,PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,-0.07602023934610623
178,PREV_NAME_CONTRACT_STATUS_NAME_CONTRACT_STATUS_divers_MEAN,0.03325508444968196
179,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.08112210941881505
180,PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,0.008957115667490044
181,PREV_NAME_PAYMENT_TYPE_NAME_PAYMENT_TYPE_divers_MEAN,-0.02563820877442649
182,PREV_NAME_PAYMENT_TYPE_XNA_MEAN,-0.01180516338210917
183,PREV_CODE_REJECT_REASON_CODE_REJECT_REASON_divers_MEAN,-0.005009880154169699
184,PREV_CODE_REJECT_REASON_HC_MEAN,0.03785748186849054
185,PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.015910056667743533
186,PREV_CODE_REJECT_REASON_XAP_MEAN,-0.022064134838241233
187,PREV_NAME_TYPE_SUITE_Children_MEAN,-0.020209792921445743
188,PREV_NAME_TYPE_SUITE_Family_MEAN,-0.011083557360782283
189,PREV_NAME_TYPE_SUITE_NAME_TYPE_SUITE_divers_MEAN,-0.001726899452925231
190,"PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN",0.001240617791509182
191,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,-0.01503488008582473
192,PREV_NAME_CLIENT_TYPE_NAME_CLIENT_TYPE_divers_MEAN,-0.015459890570853856
193,PREV_NAME_CLIENT_TYPE_New_MEAN,0.058331547111410684
194,PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,-0.06497987626369774
195,PREV_NAME_CLIENT_TYPE_Repeater_MEAN,-0.015686918491889846
196,PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,-0.01626503467519536
197,PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0.0087232423669313
198,PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,-0.02015543877875296
199,PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,-0.06986135229331883
200,PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,-0.03432742000834829
201,PREV_NAME_GOODS_CATEGORY_NAME_GOODS_CATEGORY_divers_MEAN,-0.03751250402478879
202,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,0.08167528032282541
203,PREV_NAME_PORTFOLIO_Cards_MEAN,-0.04547487844467448
204,PREV_NAME_PORTFOLIO_Cash_MEAN,-0.039173608484984856
205,PREV_NAME_PORTFOLIO_NAME_PORTFOLIO_divers_MEAN,-0.016830594015994876
206,PREV_NAME_PORTFOLIO_POS_MEAN,0.034634265469582426
207,PREV_NAME_PORTFOLIO_XNA_MEAN,-0.00495980573032255
208,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.04645871373177681
209,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,-0.039108253481536466
210,PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,-0.040073139861381696
211,PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,0.024862115131012604
212,PREV_CHANNEL_TYPE_CHANNEL_TYPE_divers_MEAN,-0.06668325599805712
213,PREV_CHANNEL_TYPE_Contact center_MEAN,0.02449891754006562
214,PREV_CHANNEL_TYPE_Country-wide_MEAN,-0.026473716503389207
215,PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,0.011294876147114021
216,PREV_CHANNEL_TYPE_Regional / Local_MEAN,-0.01625368051201062
217,PREV_CHANNEL_TYPE_Stone_MEAN,-0.0007808851489897657
218,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,0.07828498569224393
219,PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,-0.02836270790777317
220,PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,0.0006015116777778168
221,PREV_NAME_SELLER_INDUSTRY_NAME_SELLER_INDUSTRY_divers_MEAN,-0.02260864018358083
222,PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,-0.05033847977151268
223,PREV_NAME_YIELD_GROUP_XNA_MEAN,-0.02424276897777724
224,PREV_NAME_YIELD_GROUP_high_MEAN,0.10505404516435
225,PREV_NAME_YIELD_GROUP_low_action_MEAN,-0.14433956741284856
226,PREV_NAME_YIELD_GROUP_low_normal_MEAN,-0.028395549928562074
227,PREV_NAME_YIELD_GROUP_middle_MEAN,0.022066113781330755
228,PREV_PRODUCT_COMBINATION_Card Street_MEAN,0.03901851577646577
229,PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,0.03799730183719431
230,PREV_PRODUCT_COMBINATION_Cash_MEAN,0.05640983981951325
231,PREV_PRODUCT_COMBINATION_Cash Street: high_MEAN,2.2696830500059675e-05
232,PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,0.025038024108798806
233,PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,-0.06712974880982647
234,PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,0.0028097756106853157
235,PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,-0.020731555075684076
236,PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,0.04060622627101903
237,PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,-0.03427201445985285
238,PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,-0.06366062060140192
239,PREV_PRODUCT_COMBINATION_PRODUCT_COMBINATION_divers_MEAN,-0.014532347843661714
240,APPROVED_AMT_ANNUITY_MEAN,-0.11590968641891893
241,APPROVED_AMT_APPLICATION_MEAN,-0.35660723940658184
242,APPROVED_AMT_CREDIT_MEAN,0.3510726867837541
243,APPROVED_APP_CREDIT_PERC_MEAN,0.0671808459906456
244,APPROVED_AMT_DOWN_PAYMENT_MEAN,0.06186317333515882
245,APPROVED_AMT_GOODS_PRICE_MEAN,0.07430196634192751
246,APPROVED_HOUR_APPR_PROCESS_START_MEAN,-0.026018156586630602
247,APPROVED_RATE_DOWN_PAYMENT_MEAN,-0.046827212656383066
248,APPROVED_DAYS_DECISION_MEAN,-0.06785317527467931
249,APPROVED_CNT_PAYMENT_MEAN,0.16801092589931133
250,REFUSED_AMT_ANNUITY_MEAN,0.016271249757605757
251,REFUSED_AMT_APPLICATION_MEAN,-0.31497158941759995
252,REFUSED_AMT_CREDIT_MEAN,0.2284454838456886
253,REFUSED_APP_CREDIT_PERC_MEAN,0.0003544338429349929
254,REFUSED_AMT_DOWN_PAYMENT_MEAN,0.020520148917350774
255,REFUSED_AMT_GOODS_PRICE_MEAN,0.04223934457421609
256,REFUSED_HOUR_APPR_PROCESS_START_MEAN,-0.0026654158501923505
257,REFUSED_RATE_DOWN_PAYMENT_MEAN,0.0030484241708399616
258,REFUSED_DAYS_DECISION_MEAN,0.03978099607353972
259,REFUSED_CNT_PAYMENT_MEAN,0.07039162796205035
260,POS_MONTHS_BALANCE_MEAN,-0.0804577126142104
261,POS_SK_DPD_MEAN,0.02661350224085366
262,POS_SK_DPD_DEF_MEAN,0.002631834731516437
